n°UAI de l'établissement;Libellé de l'établissement;Région;Taux de poursuite d'études;Taux;Taux attendu;Valeur ajoutée;Part en poursuite d'études ;Part en emploi 6 mois après la sortie ;Part des autres situations 
0131786W;CFA METIERS DE L'AUTOMOBILE;PROVENCE-ALPES-COTE D'AZUR;31;60;63;-3;31;41;28
0131903Y;CFA DE LA COIFFURE ARCOLE;PROVENCE-ALPES-COTE D'AZUR;45;;;;45;;55
0132010P;Maison Familiale Rurale de Lambesc;PROVENCE-ALPES-COTE D'AZUR;;;;;;;
0132278F;Maison Familiale Rurale de la Montagnette - Barbentane;PROVENCE-ALPES-COTE D'AZUR;;;;;;;
0132469N;CFA DU BATIMENT ET TRAVAUX PUBLICS;PROVENCE-ALPES-COTE D'AZUR;39;62;66;-4;39;38;23
0132470P;CFA INTERPROFESSIONNEL COROT;PROVENCE-ALPES-COTE D'AZUR;24;62;54;7;24;47;29
0132823Y;Maison Familiale Rurale de Puyloubier;PROVENCE-ALPES-COTE D'AZUR;;;;;;;
0132976P;Greta-CFA Provence;PROVENCE-ALPES-COTE D'AZUR;35;63;62;1;35;41;24
0133004V;CFA DU TRANSPORT ET DE LA LOGISTIQUE (AFTRAL);PROVENCE-ALPES-COTE D'AZUR;11;70;68;2;11;62;27
0133339J;CFA DE LA CITE TECHNIQUE;PROVENCE-ALPES-COTE D'AZUR;31;59;59;-1;31;41;28
0133475G;CFA DES COMPAGNONS DU DEVOIR;PROVENCE-ALPES-COTE D'AZUR;42;57;64;-7;42;33;25
0133486U;Centre de Formation des Apprentis Interfed Santé Social;PROVENCE-ALPES-COTE D'AZUR;2;47;45;3;2;46;52
0133489X;CFA EPURE MEDITERRANEE;PROVENCE-ALPES-COTE D'AZUR;67;56;60;-5;67;19;14
0133509U;FEDERATION REGIONALE DE MFR;PROVENCE-ALPES-COTE D'AZUR;33;48;51;-3;33;32;35
0133527N;CFA régional interconsulaire méditerranée;PROVENCE-ALPES-COTE D'AZUR;36;59;61;-3;36;38;26
0133535X;CFA des métiers hippiques;PROVENCE-ALPES-COTE D'AZUR;11;83;71;12;11;74;15
0133549M;CFA BANQUE FINANCE;PROVENCE-ALPES-COTE D'AZUR;23;50;59;-9;23;38;39
0133562B;CFA Santé animale;PROVENCE-ALPES-COTE D'AZUR;8;84;73;11;8;78;14
0133565E;Formaposte Sud Est;PROVENCE-ALPES-COTE D'AZUR;22;65;63;3;22;51;27
0133597P;INHNI SUD EST;PROVENCE-ALPES-COTE D'AZUR;52;57;47;9;52;27;21
0133622S;ASSOCIATION REGIONALE POUR LA FORMATION PAR L APPRENTISSAGE AUX METIERS DU SPORT DU TOURISME ET DE L ANIMATION (A.R.F.A.M.S.T.A);PROVENCE-ALPES-COTE D'AZUR;20;;;;20;;80
0133645S;Ecole de la construction des infrastructures et réseaux APPRENTISSAGE;PROVENCE-ALPES-COTE D'AZUR;36;81;74;7;36;52;12
0133690R;CFA METIER DU SOCIAL;PROVENCE-ALPES-COTE D'AZUR;13;34;46;-12;13;29;58
0133864E;CFA FORMATION ADAPTEE;PROVENCE-ALPES-COTE D'AZUR;;;;;;;
0133915K;Maison Familiale Rurale Rhône Alpilles - St Martin de Crau;PROVENCE-ALPES-COTE D'AZUR;24;50;50;0;24;38;38
0133927Y;CFA BTP ARLES;PROVENCE-ALPES-COTE D'AZUR;41;53;63;-9;41;32;27
0133929A;REGIONAL DE L'ACADEMIE D'AIX-MARSEILLE;PROVENCE-ALPES-COTE D'AZUR;30;53;55;-2;30;37;33
0133963M;regional des metiers de l'environnement et du developpement durable;PROVENCE-ALPES-COTE D'AZUR;38;24;36;-12;38;15;47
0134088Y;Greta-CFA Marseille Méditerranée;PROVENCE-ALPES-COTE D'AZUR;25;56;58;-2;25;42;33
0134105S;centre de formation d'apprentis des métiers du spectacle;PROVENCE-ALPES-COTE D'AZUR;12;47;41;6;12;42;46
0134122K;IFCO Marseille;PROVENCE-ALPES-COTE D'AZUR;3;57;56;0;3;55;42
0134179X;Organisme de formation cfa POLYVIA FORMATION MARSEILLE-Provence Alpes-Côtes-d'Azur;PROVENCE-ALPES-COTE D'AZUR;;;;;;;
0134280G;sarl GROUPE SOMEFORM;PROVENCE-ALPES-COTE D'AZUR;;;;;;;
0134281H;OF-CFA LUDORIUM;PROVENCE-ALPES-COTE D'AZUR;17;;;;17;39;44
0134288R;CODEV;PROVENCE-ALPES-COTE D'AZUR;;;;;;;
0134291U;SARL MAOR FORMATIONS;PROVENCE-ALPES-COTE D'AZUR;;;;;;;
0134294X;Provence Formation des Métiers des Services;PROVENCE-ALPES-COTE D'AZUR;48;59;63;-4;48;31;21
0134295Y;FDM GROUPE;PROVENCE-ALPES-COTE D'AZUR;;;;;;;
0134296Z;PROFIL MANAGER;PROVENCE-ALPES-COTE D'AZUR;;;;;;;
0134297A;FCR de Marseille;PROVENCE-ALPES-COTE D'AZUR;35;66;66;0;35;43;22
0134299C;ALTERNANCE EXXECC;PROVENCE-ALPES-COTE D'AZUR;52;;;;52;28;20
0134300D;PLATE FORME;PROVENCE-ALPES-COTE D'AZUR;3;53;65;-12;3;52;45
0134302F;IFCO;PROVENCE-ALPES-COTE D'AZUR;;;;;;;
0134303G;CNAM PACA;PROVENCE-ALPES-COTE D'AZUR;;;;;;;
0134304H;WIKI LEARN FORMATION;PROVENCE-ALPES-COTE D'AZUR;;;;;;;
0134305J;GROUPE ALTERNANCE AIX;PROVENCE-ALPES-COTE D'AZUR;;;;;;;
0134307L;IFCO PARIS;PROVENCE-ALPES-COTE D'AZUR;0;57;56;1;0;57;43
0134308M;ESTC;PROVENCE-ALPES-COTE D'AZUR;;;;;;;
0134309N;IFTE AIX;PROVENCE-ALPES-COTE D'AZUR;69;74;65;9;69;23;8
0134311R;SIGMA FORMATION;PROVENCE-ALPES-COTE D'AZUR;;;;;;;
0134318Y;VOILE IMPULSION;PROVENCE-ALPES-COTE D'AZUR;;;;;;;
0134332N;CENTRE DE FORMATION CMA CGM ACADEMY;PROVENCE-ALPES-COTE D'AZUR;;;;;;;
0134333P;My Business School Campus de Marseille (13);PROVENCE-ALPES-COTE D'AZUR;50;;;;50;25;25
0134334R;My Business School Campus d'Aix en Provence (13);PROVENCE-ALPES-COTE D'AZUR;;;;;;;
0134336T;M2S FORMATION SCHOOL;PROVENCE-ALPES-COTE D'AZUR;;;;;;;
0134337U;M2S FORMATION;PROVENCE-ALPES-COTE D'AZUR;;;;;;;
0134338V;ILF - EHP -  INSTITUT LA FORBINE;PROVENCE-ALPES-COTE D'AZUR;;;;;;;
0134340X;OF-CFA ESDAC IPSAA;PROVENCE-ALPES-COTE D'AZUR;;;;;;;
0134343A;M2S FORMATION AUBAGNE;PROVENCE-ALPES-COTE D'AZUR;;;;;;;
0134350H;MFREO DE LA ROQUE D'ANTHERON;PROVENCE-ALPES-COTE D'AZUR;;;;;;;
0134353L;ASSOCIATION FORMATIC;PROVENCE-ALPES-COTE D'AZUR;;;;;;;
0134357R;COACHING PACA;PROVENCE-ALPES-COTE D'AZUR;;;;;;;
0134361V;Association de formation pour la Coopération et la Promotion Professionnelle Méditerrannéenne;PROVENCE-ALPES-COTE D'AZUR;;;;;;;
0134367B;ECIR FORMATION;PROVENCE-ALPES-COTE D'AZUR;;;;;;;
0134370E;A.S.F. - ASSOCIATION SUD FORMATION;PROVENCE-ALPES-COTE D'AZUR;;;;;;;
0141300M;Centre de formations des apprentis CIFAC Caen;NORMANDIE;45;69;69;0;45;38;17
0141408E;Université de Caen Normandie;NORMANDIE;78;;;;78;18;4
0141601P;Centre de formation des apprentis du batîment Jean Hochet Caen;NORMANDIE;53;71;67;4;53;33;14
0141815X;Organisme de formation-Centre de formation d'apprentis Institut Consulaire d'Enseignement Professionnel ICEP CAEN;NORMANDIE;38;61;62;-1;38;38;24
0141872J;Maison Familiale Rurale france de Maltot;NORMANDIE;42;71;69;2;42;42;16
0141902S;Maison Familiale Rurale de Balleroy;NORMANDIE;21;62;68;-6;21;49;30
0141903T;Maison Familiale Rurale de Blangy-le-Château;NORMANDIE;50;;;;50;45;5
0141904U;Maison Familiale Rurale de Les Moutiers-en-Cinglais;NORMANDIE;;;;;;;
0141941J;CFA Le Robillard;NORMANDIE;32;83;71;12;32;56;12
0141992P;Institut Supérieur Professionnel Normandie CAEN;NORMANDIE;;;;;;;
0142106N;Centre de Formation d'Apprentis CFAI Grand Ouest Normandie Caen;NORMANDIE;34;75;73;3;34;49;17
0142180U;CFA de Vire;NORMANDIE;30;;;;30;;70
0142220M;Site de formation de l'Organisme de formation CFA AFTRAL à Caen;NORMANDIE;22;74;68;6;22;58;20
0142248T;Association de gestion de l'Ecole Supérieure des Services AE2SE;NORMANDIE;54;71;70;1;54;33;13
0142269R;Centre de Formation des Apprenis Professions Sanitaires et Sociales Normandie Saint-Contest;NORMANDIE;6;67;54;12;6;63;31
0142321X;ADEN FORMATIONS EESTP CAEN;NORMANDIE;38;64;63;1;38;40;22
0142368Y;CFA public de l'enseignement supérieur de Caen Normandie;NORMANDIE;67;;;;67;23;10
0142390X;centre de formation d apprentis sport animation tourisme norma;NORMANDIE;24;;;;24;;76
0142400H;Centre de Formation d'Apprentis Don Bosco de Normandie Herouville-St-Clair;NORMANDIE;20;74;68;6;20;59;21
0142407R;Ecole supérieure privée IFA Trouville-sur-mer;NORMANDIE;;;;;;;
0142418C;CFA des MFR de Normandie;NORMANDIE;31;63;57;6;31;43;26
0142433U;Organisme de formation-Centre de formation d'apprentis CPNLT Clecy;NORMANDIE;;;;;;;
0142434V;Organisme de formation-Centre de formation d'apprentis IFSGO Colombelles;NORMANDIE;;;;;;;
0142435W;Organisme de formation-Centre de formation d'apprentis camp academy elite normandie training LOUVIGNY;NORMANDIE;12;54;58;-4;12;48;40
0142438Z;Organisme de formation-Centre de formation d'apprentis ALTERNANCIA CAEN;NORMANDIE;;;;;;;
0142443E;Organisme de formation-Centre de formation d'apprentis LJN  CAEN;NORMANDIE;;;;;;;
0142445G;Organisme de formation-Centre de formation d'apprentis Profiile CAEN;NORMANDIE;;;;;;;
0150605B;Centre de formation d'apprentis du bâtiment et travaux publics Georges Boché;AUVERGNE-RHONE-ALPES;45;70;69;1;45;38;17
0150640P;Institut de formation professionnelle et permanente;AUVERGNE-RHONE-ALPES;43;70;66;4;43;40;17
0150688S;Maison Familiale Rurale de Saint-Flour;AUVERGNE-RHONE-ALPES;49;;;;49;41;10
0150755P;centre form prof promo agricoles aurillac;AUVERGNE-RHONE-ALPES;22;68;70;-2;22;53;25
0150779R;GAILLARD FORMATION;AUVERGNE-RHONE-ALPES;;;;;;;
0150786Y;Chambre de Commerce et d'Industrie du Cantal;AUVERGNE-RHONE-ALPES;;;;;;;
0150788A;Organisme de formation-Centre de Formation d'Apprentis de l'école Christian Vabret - Boulangerie - Pâtisserie - Cuisine, Aurillac;AUVERGNE-RHONE-ALPES;17;;;;17;30;53
0160755J;Maison Familiale Rurale de Triac-Lautrait;NOUVELLE-AQUITAINE;;;;;;;
0160756K;CFA Chambre de metiers et artisanat de la Charente;NOUVELLE-AQUITAINE;43;60;60;1;43;34;23
0160757L;CFA de la Chambre de commerce et d'industrie de la Charente;NOUVELLE-AQUITAINE;39;61;64;-3;39;37;24
0161000A;Maison Familiale Rurale de Jarnac;NOUVELLE-AQUITAINE;;;;;;;
0161002C;Maison Familiale Rurale de Cherves-Richemont;NOUVELLE-AQUITAINE;;;;;;;
