"n°UAI de l'établissement";"Libellé de l'établissement";"Région";;;"Taux";"Taux attendu";"Valeur ajoutée";;;
"0021874B";"Lycée général et technologique privé Saint Rémy";"HAUTS-DE-FRANCE";"ensemble";14;55;52;3;64;66;71
"0021906L";"Lycée professionnel privé Saint Charles - Lycée des métiers de la sécurité et de la maintenance";"HAUTS-DE-FRANCE";"ensemble";68;36;35;1;43;49;55
"0021939X";"Lycée polyvalent Jules Verne - Lycée des métiers des sciences et technologies pour un développement durable";"HAUTS-DE-FRANCE";"ensemble";54;21;31;-10;27;25;36
"0021999M";"Lycée professionnel privé Saint Joseph - Lycée des métiers de l'hôtellerie et de la restauration";"HAUTS-DE-FRANCE";"ensemble";54;;;;;;
"0022002R";"Lycée professionnel privé Saint Joseph";"HAUTS-DE-FRANCE";"ensemble";40;28;22;6;22;28;28
"0022008X";"Lycée professionnel Jean Macé - Lycée des métiers du développement durable";"HAUTS-DE-FRANCE";"ensemble";55;23;24;-2;38;32;34
"0022022M";"Lycée d'enseignement technologique privé Sainte Sophie";"HAUTS-DE-FRANCE";"ensemble";44;28;35;-7;48;36;56
"0022042J";"Lycée polyvalent Jean Bouin - Lycée des métiers de la mode, des services à la personne et aux collectivités";"HAUTS-DE-FRANCE";"ensemble";56;10;20;-10;13;23;26
"0022044L";"Lycée polyvalent Le Corbusier - Lycée des métiers de l'hôtellerie et du bâtiment";"HAUTS-DE-FRANCE";"ensemble";38;49;43;7;54;51;62
"0022044L";"Lycée polyvalent Le Corbusier - Lycée des métiers de l'hôtellerie et du bâtiment";"HAUTS-DE-FRANCE";"dont élèves en voie pro sco";40;44;35;9;50;47;58
"0022044L";"Lycée polyvalent Le Corbusier - Lycée des métiers de l'hôtellerie et du bâtiment";"HAUTS-DE-FRANCE";"dont apprentis";28;67;68;-1;65;64;76
"0022108F";"Lycée général et technologique privé Saint-Vincent-de-Paul";"HAUTS-DE-FRANCE";"ensemble";19;;;;;;
"0022172A";"Micro lycée de Saint quentin";"HAUTS-DE-FRANCE";"ensemble";;;;;;;
"0030026M";"Lycée polyvalent Paul Constans - Lycée des métiers scientifiques, industriels, administratifs et commerciaux";"AUVERGNE-RHONE-ALPES";"ensemble";56;46;44;3;50;55;59
"0030038A";"Lycée polyvalent Jean Monnet - Lycée des métiers du design et des arts verriers";"AUVERGNE-RHONE-ALPES";"ensemble";52;42;43;-1;50;45;53
"0030038A";"Lycée polyvalent Jean Monnet - Lycée des métiers du design et des arts verriers";"AUVERGNE-RHONE-ALPES";"dont élèves en voie pro sco";53;40;42;-2;49;44;53
"0030038A";"Lycée polyvalent Jean Monnet - Lycée des métiers du design et des arts verriers";"AUVERGNE-RHONE-ALPES";"dont apprentis";;;;;;;
"0030051P";"Lycée général et technologique Albert Londres - Lycée des métiers du bois, des énergies et des services aux organisations";"AUVERGNE-RHONE-ALPES";"ensemble";44;53;58;-5;59;57;68
"0030051P";"Lycée général et technologique Albert Londres - Lycée des métiers du bois, des énergies et des services aux organisations";"AUVERGNE-RHONE-ALPES";"dont élèves en voie pro sco";44;54;58;-4;60;58;68
"0030051P";"Lycée général et technologique Albert Londres - Lycée des métiers du bois, des énergies et des services aux organisations";"AUVERGNE-RHONE-ALPES";"dont apprentis";;;;;;;
"0030061A";"Lycée professionnel Albert Londres - Lycée des métiers du bois, des énergies et des services aux organisations";"AUVERGNE-RHONE-ALPES";"ensemble";57;37;35;2;41;52;56
"0030105Y";"Lycée professionnel privé Sainte-Louise";"AUVERGNE-RHONE-ALPES";"ensemble";70;;;;;;
"0030112F";"Lycée professionnel privé Anna Rodier";"AUVERGNE-RHONE-ALPES";"ensemble";40;26;35;-9;44;44;53
"0030905T";"Lycée professionnel Gustave Eiffel - Lycée des métiers de la maintenance des matériels et des véhicules motocycles";"AUVERGNE-RHONE-ALPES";"ensemble";38;61;60;1;67;66;78
"0030905T";"Lycée professionnel Gustave Eiffel - Lycée des métiers de la maintenance des matériels et des véhicules motocycles";"AUVERGNE-RHONE-ALPES";"dont élèves en voie pro sco";42;46;49;-3;56;59;71
"0030905T";"Lycée professionnel Gustave Eiffel - Lycée des métiers de la maintenance des matériels et des véhicules motocycles";"AUVERGNE-RHONE-ALPES";"dont apprentis";30;80;75;6;83;76;87
"0030924N";"Lycée professionnel Val d'Allier";"AUVERGNE-RHONE-ALPES";"ensemble";45;18;27;-8;26;38;41
"0030935A";"Lycée Privé d'Enseignement Supérieur de Vichy";"AUVERGNE-RHONE-ALPES";"ensemble";35;63;59;4;68;57;66
"0031041R";"Lycée technologique privé Anna Rodier";"AUVERGNE-RHONE-ALPES";"ensemble";23;74;62;12;63;89;89
"0031043T";"Lycée polyvalent Albert Einstein - Lycée des métiers de l'automobile";"AUVERGNE-RHONE-ALPES";"ensemble";53;53;44;9;59;64;69
"0031043T";"Lycée polyvalent Albert Einstein - Lycée des métiers de l'automobile";"AUVERGNE-RHONE-ALPES";"dont élèves en voie pro sco";55;50;42;8;58;62;67
"0031043T";"Lycée polyvalent Albert Einstein - Lycée des métiers de l'automobile";"AUVERGNE-RHONE-ALPES";"dont apprentis";;;;;;;
"0031044U";"Lycée polyvalent Geneviève Vincent";"AUVERGNE-RHONE-ALPES";"ensemble";28;30;28;2;39;29;38
"0031082K";"Lycée polyvalent Valéry Larbaud";"AUVERGNE-RHONE-ALPES";"ensemble";44;50;47;3;57;55;61
"0031082K";"Lycée polyvalent Valéry Larbaud";"AUVERGNE-RHONE-ALPES";"dont élèves en voie pro sco";44;48;45;3;55;53;61
"0031082K";"Lycée polyvalent Valéry Larbaud";"AUVERGNE-RHONE-ALPES";"dont apprentis";38;76;76;0;81;76;71
"0040003G";"Lycée général André Honnorat";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";68;;;;;;
"0040007L";"Lycée professionnel lycée des métiers Beau de Rochas";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";53;28;29;-2;43;41;47
"0040010P";"Lycée général et technologique Félix Esclangon";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";17;55;56;-1;70;68;84
"0040011R";"Lycée professionnel Louis Martin Bret - Lycée des métiers de l'hotellerie-restauration, des secteurs tertiaire et industriel";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";50;37;34;3;53;48;59
"0040011R";"Lycée professionnel Louis Martin Bret - Lycée des métiers de l'hotellerie-restauration, des secteurs tertiaire et industriel";"PROVENCE-ALPES-COTE D'AZUR";"dont élèves en voie pro sco";51;37;33;4;52;48;59
"0040011R";"Lycée professionnel Louis Martin Bret - Lycée des métiers de l'hotellerie-restauration, des secteurs tertiaire et industriel";"PROVENCE-ALPES-COTE D'AZUR";"dont apprentis";;;;;;;
"0040023D";"Lycée polyvalent Paul Arène - lycée des métiers de l'hotellerie et de la restauration des Alpes provençales";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";48;48;45;4;67;45;59
"0040027H";"Lycée général et technologique Alexandra David Neel";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";63;;;;;;
"0040378P";"Etablissement régional d'enseignement adapté de Haute-Provence";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";36;;;;;;
"0040490L";"Lycée général et technologique Pierre-Gilles de Gennes";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";37;45;49;-4;55;53;55
"0040533H";"Lycée Polyvalent Les Iscles";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";39;44;46;-2;55;51;63
"0050003B";"Lycée polyvalent  d'Altitude";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";33;53;40;12;64;51;56
"0050004C";"Lycée climatique Honoré Romane";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";34;58;51;7;65;55;65
"0050005D";"Lycée professionnel Alpes et Durance - Lycée des Métiers pluri-actifs du bois et de l'habitat de montagne";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";44;39;46;-7;49;38;53
"0050006E";"Lycée général et technologique Dominique Villars";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";21;51;57;-5;60;62;63
