"n°UAI de l'établissement";"Libellé de l'établissement";"Région";;;"Taux";"Taux attendu";"Valeur ajoutée";;;
"0460032K";"Lycée professionnel Champollion - Lycée des métiers de l'industrie : productique mécanique, électronique, électrotechnique et bureautique-services";"OCCITANIE";"dont élèves en voie pro sco";64;50;38;12;41;47;55
"0460032K";"Lycée professionnel Champollion - Lycée des métiers de l'industrie : productique mécanique, électronique, électrotechnique et bureautique-services";"OCCITANIE";"dont apprentis";;;;;;;
"0460038S";"Lycée général et technologique privé Saint-Etienne";"OCCITANIE";"ensemble";15;24;36;-12;47;35;50
"0460039T";"Lycée polyvalent privé Jeanne d'Arc";"OCCITANIE";"ensemble";31;18;30;-12;32;34;43
"0460050E";"Lycée professionnel privé Saint-Etienne";"OCCITANIE";"ensemble";51;14;26;-12;29;45;47
"0460051F";"Lycée professionnel Clément Marot - Lycée des métiers du tertiaire et du social";"OCCITANIE";"ensemble";59;22;29;-7;37;38;52
"0460493L";"Lycée polyvalent Gaston Monnerville - Lycée des métiers de l'industrie : maintenance, production, électricité et automobile";"OCCITANIE";"ensemble";47;59;55;4;60;65;68
"0460493L";"Lycée polyvalent Gaston Monnerville - Lycée des métiers de l'industrie : maintenance, production, électricité et automobile";"OCCITANIE";"dont élèves en voie pro sco";53;51;46;5;53;61;60
"0460493L";"Lycée polyvalent Gaston Monnerville - Lycée des métiers de l'industrie : maintenance, production, électricité et automobile";"OCCITANIE";"dont apprentis";23;78;78;0;78;72;88
"0460529A";"Lycée professionnel hôtelier Quercy-Périgord - Lycée des métiers de l'hôtellerie et restauration";"OCCITANIE";"ensemble";51;50;48;2;63;42;72
"0460529A";"Lycée professionnel hôtelier Quercy-Périgord - Lycée des métiers de l'hôtellerie et restauration";"OCCITANIE";"dont élèves en voie pro sco";52;49;47;2;62;40;72
"0460529A";"Lycée professionnel hôtelier Quercy-Périgord - Lycée des métiers de l'hôtellerie et restauration";"OCCITANIE";"dont apprentis";;;;;;;
"0470001W";"Lycée général et technologique Bernard Palissy";"NOUVELLE-AQUITAINE";"ensemble";34;49;48;0;59;59;70
"0470003Y";"Lycée général et technologique Jean-Baptiste de Baudre";"NOUVELLE-AQUITAINE";"ensemble";31;52;56;-4;60;62;72
"0470004Z";"Lycée professionnel Antoine Lomet";"NOUVELLE-AQUITAINE";"ensemble";46;36;35;1;44;46;51
"0470015L";"Lycée professionnel Porte du Lot - Lycée des métiers de la maintenance et des travaux publics";"NOUVELLE-AQUITAINE";"ensemble";57;52;40;12;57;58;72
"0470020S";"Lycée polyvalent Val de Garonne - Lycée des métiers des techniques innovantes";"NOUVELLE-AQUITAINE";"ensemble";40;55;48;7;54;63;68
"0470029B";"Lycée professionnel Jacques de Romas - Lycée des métiers de l'hôtellerie restauration et des services à la personne";"NOUVELLE-AQUITAINE";"ensemble";40;45;41;4;58;51;60
"0470038L";"Lycée polyvalent Georges Leygues et Louis Couffignal Lycée des métiers du tertiaire et du social";"NOUVELLE-AQUITAINE";"ensemble";43;32;36;-4;40;44;53
"0470060K";"Lycée général et technologique privé Saint Caprais";"NOUVELLE-AQUITAINE";"ensemble";25;55;56;-2;52;69;71
"0470641S";"Lycée professionnel Benoît d'Azy";"NOUVELLE-AQUITAINE";"ensemble";65;36;31;5;45;55;58
"0470730N";"Lycée professionnel privé Notre Dame La Compassion";"NOUVELLE-AQUITAINE";"ensemble";39;22;34;-12;34;36;46
"0470753N";"Etablissement régional d'enseignement adapté Marie Claude Riche";"NOUVELLE-AQUITAINE";"ensemble";49;9;13;-4;23;36;45
"0470782V";"Lycée professionnel Jean Monnet";"NOUVELLE-AQUITAINE";"ensemble";58;43;38;4;40;51;54
"0480007X";"Lycée général et technologique Chaptal";"OCCITANIE";"ensemble";36;38;50;-12;41;52;48
"0480009Z";"Lycée d'enseignement général et technologique Emile Peytavin";"OCCITANIE";"ensemble";43;50;53;-3;60;46;59
"0480019K";"Lycée professionnel Emile Peytavin, Lycée des métiers";"OCCITANIE";"ensemble";60;36;39;-3;53;50;61
"0480022N";"Lycée polyvalent privé Saint Pierre-Saint Paul";"OCCITANIE";"ensemble";48;43;43;0;57;55;54
"0480023P";"Lycée polyvalent privé Saint Joseph, lycée des métiers des services et soins à la personne";"OCCITANIE";"ensemble";42;49;48;1;57;57;64
"0480025S";"Lycée général et technologique privé Notre-Dame";"OCCITANIE";"ensemble";49;45;48;-3;59;49;57
"0480680D";"Lycée polyvalent privé Sacré-Coeur, lycée des métiers de la gastronomie-hôtellerie, des techniques du bois et de la mécanique agricole";"OCCITANIE";"ensemble";45;56;52;3;71;64;76
"0480688M";"Lycée polyvalent Théophile Roussel, Lycée des métiers du traitement des matérieux et de métiers de service";"OCCITANIE";"ensemble";41;34;40;-6;34;42;49
"0480688M";"Lycée polyvalent Théophile Roussel, Lycée des métiers du traitement des matérieux et de métiers de service";"OCCITANIE";"dont élèves en voie pro sco";42;33;39;-7;33;40;48
"0480688M";"Lycée polyvalent Théophile Roussel, Lycée des métiers du traitement des matérieux et de métiers de service";"OCCITANIE";"dont apprentis";;;;;;;
"0490002L";"Lycée général et technologique Joachim du Bellay";"PAYS DE LA LOIRE";"ensemble";30;53;62;-9;68;66;66
"0490003M";"Lycée polyvalent Chevrollier - Lycée des métiers des technologies numériques";"PAYS DE LA LOIRE";"ensemble";42;59;54;5;63;66;67
"0490005P";"Lycée professionnel Simone Veil";"PAYS DE LA LOIRE";"ensemble";40;30;30;0;35;39;49
"0490013Y";"Lycée professionnel de Narcé - Lycée des métiers des travaux publics de la maintenance des véhicules (hors véhicules industriels) et des matériels";"PAYS DE LA LOIRE";"ensemble";40;76;72;5;80;80;82
"0490013Y";"Lycée professionnel de Narcé - Lycée des métiers des travaux publics de la maintenance des véhicules (hors véhicules industriels) et des matériels";"PAYS DE LA LOIRE";"dont élèves en voie pro sco";53;52;47;5;59;60;61
"0490013Y";"Lycée professionnel de Narcé - Lycée des métiers des travaux publics de la maintenance des véhicules (hors véhicules industriels) et des matériels";"PAYS DE LA LOIRE";"dont apprentis";35;83;79;5;86;86;89
"0490018D";"Lycée polyvalent Europe Robert Schuman - Lycée des métiers de la gestion d'entreprise et du commerce à l'international";"PAYS DE LA LOIRE";"ensemble";42;60;54;6;60;64;66
"0490040C";"Lycée général Duplessis Mornay";"PAYS DE LA LOIRE";"ensemble";22;52;55;-4;76;55;79
"0490054T";"Lycée polyvalent Fernand Renaudeau - Lycée des métiers de la mode";"PAYS DE LA LOIRE";"ensemble";43;61;57;4;68;65;69
"0490054T";"Lycée polyvalent Fernand Renaudeau - Lycée des métiers de la mode";"PAYS DE LA LOIRE";"dont élèves en voie pro sco";49;52;46;5;60;57;63
"0490054T";"Lycée polyvalent Fernand Renaudeau - Lycée des métiers de la mode";"PAYS DE LA LOIRE";"dont apprentis";19;83;81;2;85;85;85
"0490055U";"Lycée Polyvalent Sadi Carnot - Jean Bertin - Lycée des métiers de l'hôtellerie et de la restauration";"PAYS DE LA LOIRE";"ensemble";39;47;46;2;56;55;62
"0490055U";"Lycée Polyvalent Sadi Carnot - Jean Bertin - Lycée des métiers de l'hôtellerie et de la restauration";"PAYS DE LA LOIRE";"dont élèves en voie pro sco";39;47;46;2;55;55;61
"0490055U";"Lycée Polyvalent Sadi Carnot - Jean Bertin - Lycée des métiers de l'hôtellerie et de la restauration";"PAYS DE LA LOIRE";"dont apprentis";;;;;;;
"0490782J";"Lycée polyvalent Blaise Pascal";"PAYS DE LA LOIRE";"ensemble";42;47;47;0;64;57;67
"0490782J";"Lycée polyvalent Blaise Pascal";"PAYS DE LA LOIRE";"dont élèves en voie pro sco";45;42;42;-1;59;52;63
"0490782J";"Lycée polyvalent Blaise Pascal";"PAYS DE LA LOIRE";"dont apprentis";;;;;;;
"0490784L";"Lycée professionnel Henri Dunant";"PAYS DE LA LOIRE";"ensemble";44;41;41;0;41;47;53
"0490784L";"Lycée professionnel Henri Dunant";"PAYS DE LA LOIRE";"dont élèves en voie pro sco";44;44;41;3;44;45;53
"0490784L";"Lycée professionnel Henri Dunant";"PAYS DE LA LOIRE";"dont apprentis";44;;;;;;
"0490801E";"Lycée professionnel Paul-Emile Victor";"PAYS DE LA LOIRE";"ensemble";47;40;36;4;40;44;53
"0490828J";"Lycée général et technologique privé Notre-Dame de Bonnes Nouvelles";"PAYS DE LA LOIRE";"ensemble";10;;;;;;
"0490838V";"Lycée général et technologique privé Saint Louis";"PAYS DE LA LOIRE";"ensemble";39;55;53;2;50;55;64
"0490840X";"Lycée polyvalent privé Bourg-Chevreau";"PAYS DE LA LOIRE";"ensemble";41;41;45;-4;55;46;58
"0490886X";"Lycée professionnel privé La Providence - Lycée des métiers de la vente de la gestion du secrétariat et de l'optique";"PAYS DE LA LOIRE";"ensemble";43;65;55;9;71;63;73
"0490890B";"Institut de formation et de recherche en intervention sociale";"PAYS DE LA LOIRE";"ensemble";15;32;44;-12;45;55;61
"0490903R";"Lycée professionnel privé Le Pinier Neuf - Lycée des métiers de la maintenance de l'énergie de la construction";"PAYS DE LA LOIRE";"ensemble";69;55;45;10;58;60;68
"0490904S";"Lycée polyvalent privé des métiers Jeanne Delanoue";"PAYS DE LA LOIRE";"ensemble";26;45;45;0;60;51;58
"0490910Y";"Lycée professionnel privé Les Ardilliers - Lycée des métiers de la santé, du commerce et de l'administration";"PAYS DE LA LOIRE";"ensemble";42;37;34;2;43;48;57
"0490925P";"Etablissement régional d'enseignement adapté";"PAYS DE LA LOIRE";"ensemble";25;28;26;2;37;37;47
"0491646Y";"Lycée professionnel Ludovic Ménard";"PAYS DE LA LOIRE";"ensemble";42;32;33;-1;39;43;46
"0492015Z";"Lycée général et technologique privé Sacré-Coeur La Salle - Lycée des métiers du commerce et de la gestion";"PAYS DE LA LOIRE";"ensemble";13;56;60;-4;64;65;70
"0492061Z";"Lycée général et technologique Auguste et Jean Renoir";"PAYS DE LA LOIRE";"ensemble";48;56;52;4;44;62;59
"0492089E";"Lycée général et technologique Emmanuel Mounier";"PAYS DE LA LOIRE";"ensemble";8;57;61;-3;70;70;78
"0492113F";"Ecole supérieure d'optique de l'ouest - Lycée des métiers de l'optique";"PAYS DE LA LOIRE";"ensemble";33;95;83;12;93;90;92
"0492123S";"Lycée polyvalent Jean Moulin - Lycée des métiers de l'énergie, de la construction et du laboratoire";"PAYS DE LA LOIRE";"ensemble";49;60;63;-2;70;69;67
"0492123S";"Lycée polyvalent Jean Moulin - Lycée des métiers de l'énergie, de la construction et du laboratoire";"PAYS DE LA LOIRE";"dont élèves en voie pro sco";56;50;50;0;60;58;58
"0492123S";"Lycée polyvalent Jean Moulin - Lycée des métiers de l'énergie, de la construction et du laboratoire";"PAYS DE LA LOIRE";"dont apprentis";34;76;82;-5;86;88;82
"0492224B";"Lycée polyvalent de l'Hyrome";"PAYS DE LA LOIRE";"ensemble";40;50;45;5;50;53;61
"0492298G";"école technique supérieure de chimie de l'ouest";"PAYS DE LA LOIRE";"ensemble";60;64;56;8;74;64;69
"0492406Z";"Lycée Général Technologique Privé Sainte Marie";"PAYS DE LA LOIRE";"ensemble";16;61;58;3;68;63;72
"0492407A";"Lycée Général et Technologique privé Urbain Mongazon - lycée des métiers de la santé et des services à la personne";"PAYS DE LA LOIRE";"ensemble";3;92;80;12;89;89;84
"0492420P";"Lycée polyvalent privé Saint Aubin la Salle - Lycée des métiers de l'énergie, des systèmes mécaniques et des applications numériques";"PAYS DE LA LOIRE";"ensemble";56;49;50;-1;58;61;64
"0492430A";"Lycée polyvalent Julien Gracq";"PAYS DE LA LOIRE";"ensemble";19;32;39;-7;62;55;62
"0492432C";"Lycée professionnel privé Joseph Wresinski - ITEC";"PAYS DE LA LOIRE";"ensemble";41;41;39;2;47;50;54
"0500002F";"Lycée Géneral et Téchnologique Emile Littré";"NORMANDIE";"ensemble";44;65;59;6;75;75;73
"0500017X";"Lycée polyvalent Alexis de Tocqueville";"NORMANDIE";"ensemble";45;58;54;4;64;65;72
"0500017X";"Lycée polyvalent Alexis de Tocqueville";"NORMANDIE";"dont élèves en voie pro sco";47;53;50;3;59;59;67
"0500017X";"Lycée polyvalent Alexis de Tocqueville";"NORMANDIE";"dont apprentis";25;83;72;11;88;98;98
"0500026G";"Lycée général et technologique Charles François Lebrun";"NORMANDIE";"ensemble";35;52;60;-8;65;67;76
"0500027H";"Lycée professionnel La Roquelle - Lycée des métiers du bâtiment";"NORMANDIE";"ensemble";48;48;46;1;71;59;57
"0500027H";"Lycée professionnel La Roquelle - Lycée des métiers du bâtiment";"NORMANDIE";"dont élèves en voie pro sco";50;38;39;-1;67;52;50
"0500027H";"Lycée professionnel La Roquelle - Lycée des métiers du bâtiment";"NORMANDIE";"dont apprentis";;;;;;;
"0500028J";"Lycée professionnel Les Sapins - Lycée des métiers de la mode et des services";"NORMANDIE";"ensemble";47;23;35;-12;46;36;43
"0500028J";"Lycée professionnel Les Sapins - Lycée des métiers de la mode et des services";"NORMANDIE";"dont élèves en voie pro sco";47;21;33;-12;45;34;42
"0500028J";"Lycée professionnel Les Sapins - Lycée des métiers de la mode et des services";"NORMANDIE";"dont apprentis";;;;;;;
"0500032N";"Lycée professionnel Edmond Doucet - Lycée des métiers de la production industrielle des ouvrages en bois et des services aux entreprises";"NORMANDIE";"ensemble";37;50;51;-1;61;69;67
"0500032N";"Lycée professionnel Edmond Doucet - Lycée des métiers de la production industrielle des ouvrages en bois et des services aux entreprises";"NORMANDIE";"dont élèves en voie pro sco";47;39;41;-2;51;65;60
"0500032N";"Lycée professionnel Edmond Doucet - Lycée des métiers de la production industrielle des ouvrages en bois et des services aux entreprises";"NORMANDIE";"dont apprentis";14;67;66;1;76;76;77
"0500036T";"Lycée polyvalent Julliot de La Morandière - Lycée des métiers du nautisme";"NORMANDIE";"ensemble";45;56;55;1;63;65;67
"0500036T";"Lycée polyvalent Julliot de La Morandière - Lycée des métiers du nautisme";"NORMANDIE";"dont élèves en voie pro sco";46;47;49;-2;55;59;60
"0500036T";"Lycée polyvalent Julliot de La Morandière - Lycée des métiers du nautisme";"NORMANDIE";"dont apprentis";39;85;74;11;88;82;88
"0500049G";"Lycée polyvalent Robert de Mortain - Lycée des métiers des carrières du sanitaire et du social";"NORMANDIE";"ensemble";38;31;38;-7;43;40;47
"0500087Y";"lycée polyvalent Claude Lehec - Lycée des métiers de la maintenance des matériels";"NORMANDIE";"ensemble";53;76;64;12;82;79;86
"0500087Y";"lycée polyvalent Claude Lehec - Lycée des métiers de la maintenance des matériels";"NORMANDIE";"dont élèves en voie pro sco";61;72;60;12;77;72;83
"0500087Y";"lycée polyvalent Claude Lehec - Lycée des métiers de la maintenance des matériels";"NORMANDIE";"dont apprentis";14;85;76;9;91;93;93
"0500112A";"Lycée général privé Institut Notre-Dame";"NORMANDIE";"ensemble";19;55;59;-4;58;59;63
"0500119H";"Lycée général privé Sévigné";"NORMANDIE";"ensemble";41;;;;;;
"0500120J";"Lycée général et Technologique Institut Saint-Lo";"NORMANDIE";"ensemble";14;54;62;-7;75;74;79
"0500127S";"Lycée technologique privé Le Bon Sauveur";"NORMANDIE";"ensemble";15;50;54;-4;60;50;65
"0500132X";"Lycée professionnel privé Ingenieur Cachin";"NORMANDIE";"ensemble";49;51;44;8;54;65;69
"0501219D";"Lycée polyvalent Curie-Corot";"NORMANDIE";"ensemble";51;50;45;5;55;62;64
"0501219D";"Lycée polyvalent Curie-Corot";"NORMANDIE";"dont élèves en voie pro sco";50;49;45;4;54;61;63
"0501219D";"Lycée polyvalent Curie-Corot";"NORMANDIE";"dont apprentis";;;;;;;
"0501232T";"Etablissement régional d'enseignement adapté Robert Doisneau";"NORMANDIE";"ensemble";42;16;26;-10;28;23;33
"0501299R";"Lycée général et technologique privé Thomas Hélye";"NORMANDIE";"ensemble";21;54;66;-11;67;63;72
"0501677B";"Lycée professionnel Sauxmarais - Lycée des métiers de l'automobile, de l'insustrie des procédés et de la relation client";"NORMANDIE";"ensemble";49;44;42;1;53;61;70
"0501677B";"Lycée professionnel Sauxmarais - Lycée des métiers de l'automobile, de l'insustrie des procédés et de la relation client";"NORMANDIE";"dont élèves en voie pro sco";49;44;42;2;53;61;70
"0501677B";"Lycée professionnel Sauxmarais - Lycée des métiers de l'automobile, de l'insustrie des procédés et de la relation client";"NORMANDIE";"dont apprentis";;;;;;;
"0501787W";"Lycée professionnel privé La Providence";"NORMANDIE";"ensemble";61;50;48;2;71;42;58
"0501788X";"Lycée professionnel privé La Bucaille";"NORMANDIE";"ensemble";64;48;41;7;68;64;76
"0501789Y";"Lycée professionnel privé Le Bon Sauveur - Lycée des métiers des soins à la personne et du tourisme";"NORMANDIE";"ensemble";30;29;40;-11;45;35;40
"0501825M";"Lycée professionnel privé Institut Saint Lo";"NORMANDIE";"ensemble";72;;;;;;
"0501839C";"Lycée général et technologique Sivard de Beaulieu";"NORMANDIE";"ensemble";25;76;64;12;76;76;71
"0501850P";"Lycée polyvalent Maurice Marland";"NORMANDIE";"ensemble";50;48;48;0;58;51;64
"0501941N";"Lycée professionnel privé Institution Notre Dame";"NORMANDIE";"ensemble";27;30;41;-12;53;44;56
"0502009M";"Lycée professionnel Thomas Pesquet - Lycée des métiers-";"NORMANDIE";"ensemble";51;39;41;-3;44;43;59
"0502009M";"Lycée professionnel Thomas Pesquet - Lycée des métiers-";"NORMANDIE";"dont élèves en voie pro sco";53;34;37;-3;41;39;56
"0502009M";"Lycée professionnel Thomas Pesquet - Lycée des métiers-";"NORMANDIE";"dont apprentis";36;;;;;;
"0510007F";"Lycée polyvalent Etienne Oehmichen - Lycée des métiers de l'industrie, du transport et de la logistique, de l'hôtellerie-restauration";"GRAND EST";"ensemble";39;47;46;2;54;54;54
"0510007F";"Lycée polyvalent Etienne Oehmichen - Lycée des métiers de l'industrie, du transport et de la logistique, de l'hôtellerie-restauration";"GRAND EST";"dont élèves en voie pro sco";41;45;44;2;52;51;51
"0510007F";"Lycée polyvalent Etienne Oehmichen - Lycée des métiers de l'industrie, du transport et de la logistique, de l'hôtellerie-restauration";"GRAND EST";"dont apprentis";12;73;71;2;82;82;86
"0510034K";"Lycée général et technologique Franklin Roosevelt";"GRAND EST";"ensemble";42;54;57;-3;61;63;66
"0510034K";"Lycée général et technologique Franklin Roosevelt";"GRAND EST";"dont élèves en voie pro sco";45;49;54;-4;56;59;63
"0510034K";"Lycée général et technologique Franklin Roosevelt";"GRAND EST";"dont apprentis";22;79;78;1;90;83;90
"0510035L";"Lycée général et technologique Hugues Libergier - Lycée des métiers des biotechnologies, de la chimie, du social et de l'assistance au management";"GRAND EST";"ensemble";41;54;54;0;54;58;60
"0510035L";"Lycée général et technologique Hugues Libergier - Lycée des métiers des biotechnologies, de la chimie, du social et de l'assistance au management";"GRAND EST";"dont élèves en voie pro sco";41;55;54;1;55;58;61
"0510035L";"Lycée général et technologique Hugues Libergier - Lycée des métiers des biotechnologies, de la chimie, du social et de l'assistance au management";"GRAND EST";"dont apprentis";35;;;;;;
"0510036M";"Lycée professionnel Gustave Eiffel - Lycée des métiers de l'automobile, de l'hôtellerie-restauration et de l'alimentation";"GRAND EST";"ensemble";45;37;39;-1;48;48;52
"0510036M";"Lycée professionnel Gustave Eiffel - Lycée des métiers de l'automobile, de l'hôtellerie-restauration et de l'alimentation";"GRAND EST";"dont élèves en voie pro sco";45;37;38;-1;48;47;52
"0510036M";"Lycée professionnel Gustave Eiffel - Lycée des métiers de l'automobile, de l'hôtellerie-restauration et de l'alimentation";"GRAND EST";"dont apprentis";;;;;;;
"0510037N";"Lycée professionnel Yser - Lycée des métiers de l'agencement, dela topographie et de la commercialisation";"GRAND EST";"ensemble";52;35;35;1;40;46;54
"0510037N";"Lycée professionnel Yser - Lycée des métiers de l'agencement, dela topographie et de la commercialisation";"GRAND EST";"dont élèves en voie pro sco";52;35;34;1;39;46;53
"0510037N";"Lycée professionnel Yser - Lycée des métiers de l'agencement, dela topographie et de la commercialisation";"GRAND EST";"dont apprentis";;;;;;;
"0510038P";"Lycée professionnel Europe - Lycée des métiers des soins personnels et services à la personne";"GRAND EST";"ensemble";47;44;37;7;45;50;48
"0510053F";"Lycée polyvalent La Fontaine du Vé";"GRAND EST";"ensemble";49;21;31;-11;34;39;48
"0510062R";"Lycée polyvalent François 1er";"GRAND EST";"ensemble";53;32;39;-7;42;45;43
"0510062R";"Lycée polyvalent François 1er";"GRAND EST";"dont élèves en voie pro sco";54;29;37;-7;39;42;41
"0510062R";"Lycée polyvalent François 1er";"GRAND EST";"dont apprentis";32;;;;;;
"0510068X";"Lycée polyvalent Européen Stéphane Hessel - Lycée des métiers industriels et tertiaires du vignoble";"GRAND EST";"ensemble";47;41;45;-3;47;50;55
"0511106A";"Etablissement régional d'enseignement adapté Bourneville";"GRAND EST";"ensemble";39;23;21;2;10;23;29
"0511145T";"Lycée polyvalent privé Saint Michel";"GRAND EST";"ensemble";33;43;44;0;51;59;65
"0511146U";"Lycée polyvalent privé Saint Jean-Baptiste de La Salle - Lycée des métiers de la maintenance et de l'audiovisuel";"GRAND EST";"ensemble";46;34;37;-3;42;37;46
"0511147V";"Lycée polyvalent privé Frédéric Ozanam - Lycée des métiers des services à la personne";"GRAND EST";"ensemble";41;34;44;-10;41;43;46
"0511149X";"Lycée professionnel privé Sainte Marie";"GRAND EST";"ensemble";59;51;49;2;58;42;58
"0511153B";"Lycée professionnel privé Jeanne d'Arc - La Salle";"GRAND EST";"ensemble";58;32;33;0;38;38;42
"0511430C";"Lycée professionnel Joliot-Curie - Lycée des métiers de la sécurité, de la relation client et des services administratifs";"GRAND EST";"ensemble";51;37;39;-2;37;38;42
"0511430C";"Lycée professionnel Joliot-Curie - Lycée des métiers de la sécurité, de la relation client et des services administratifs";"GRAND EST";"dont élèves en voie pro sco";51;36;39;-2;36;38;43
"0511430C";"Lycée professionnel Joliot-Curie - Lycée des métiers de la sécurité, de la relation client et des services administratifs";"GRAND EST";"dont apprentis";;;;;;;
"0511565Z";"Lycée polyvalent François Arago - Lycée des métiers de l'efficacité énergétique, du bâtiment et des travaux publics";"GRAND EST";"ensemble";63;60;48;12;60;56;58
"0511884W";"Lycée polyvalent Georges Brière - Lycée des métiers de l'industrie, de la défense et du graphisme";"GRAND EST";"ensemble";48;32;40;-8;35;38;43
"0511884W";"Lycée polyvalent Georges Brière - Lycée des métiers de l'industrie, de la défense et du graphisme";"GRAND EST";"dont élèves en voie pro sco";48;31;39;-8;34;38;42
"0511884W";"Lycée polyvalent Georges Brière - Lycée des métiers de l'industrie, de la défense et du graphisme";"GRAND EST";"dont apprentis";;;;;;;
"0511901P";"Lycée général et technologique Colbert";"GRAND EST";"ensemble";26;65;60;5;62;70;77
"0511901P";"Lycée général et technologique Colbert";"GRAND EST";"dont élèves en voie pro sco";26;64;59;5;62;71;78
"0511901P";"Lycée général et technologique Colbert";"GRAND EST";"dont apprentis";;;;;;;
"0511926S";"Lycée général et technologique Marc Chagall";"GRAND EST";"ensemble";74;;;;;;
"0511951U";"Lycée polyvalent Jean Talon - Lycée des métiers de la gestion, de la comptabilité et du commerce";"GRAND EST";"ensemble";46;44;49;-5;42;43;48
"0511951U";"Lycée polyvalent Jean Talon - Lycée des métiers de la gestion, de la comptabilité et du commerce";"GRAND EST";"dont élèves en voie pro sco";48;41;46;-5;40;41;46
"0511951U";"Lycée polyvalent Jean Talon - Lycée des métiers de la gestion, de la comptabilité et du commerce";"GRAND EST";"dont apprentis";32;;;;;;
"0520008B";"Lycée professionnel Eugène Decomble";"GRAND EST";"ensemble";57;53;48;5;62;59;62
"0520008B";"Lycée professionnel Eugène Decomble";"GRAND EST";"dont élèves en voie pro sco";59;49;44;5;61;55;61
"0520008B";"Lycée professionnel Eugène Decomble";"GRAND EST";"dont apprentis";38;75;71;4;70;80;70
"0520021R";"Lycée polyvalent Diderot";"GRAND EST";"ensemble";39;44;49;-5;53;54;52
"0520021R";"Lycée polyvalent Diderot";"GRAND EST";"dont élèves en voie pro sco";39;40;47;-7;50;51;49
"0520021R";"Lycée polyvalent Diderot";"GRAND EST";"dont apprentis";;;;;;;
"0520027X";"Lycée général et technologique St Exupéry";"GRAND EST";"ensemble";26;46;54;-8;49;56;62
"0520028Y";"Lycée général et technologique Blaise Pascal";"GRAND EST";"ensemble";42;62;50;12;73;85;73
"0520029Z";"Lycée professionnel Blaise Pascal";"GRAND EST";"ensemble";70;40;33;7;49;51;49
"0520029Z";"Lycée professionnel Blaise Pascal";"GRAND EST";"dont élèves en voie pro sco";72;32;29;4;45;45;42
"0520029Z";"Lycée professionnel Blaise Pascal";"GRAND EST";"dont apprentis";;;;;;;
"0520032C";"Lycée professionnel Emile Baudot - Lycée des métiers de la sécurité";"GRAND EST";"ensemble";30;27;33;-5;39;37;46
"0520679F";"Lycée général et technologique privé Estic";"GRAND EST";"ensemble";24;57;54;2;57;59;70
"0520685M";"Lycée général et technologique privé Oudinot";"GRAND EST";"ensemble";30;48;59;-11;61;61;65
"0520692V";"Lycée professionnel privé Estic";"GRAND EST";"ensemble";46;32;32;1;37;35;43
"0520709N";"Etablissement régional d'enseignement adapté Pré aux saules";"GRAND EST";"ensemble";25;13;25;-12;20;27;33
"0520709N";"Etablissement régional d'enseignement adapté Pré aux saules";"GRAND EST";"dont élèves en voie pro sco";27;11;24;-12;15;26;33
"0520709N";"Etablissement régional d'enseignement adapté Pré aux saules";"GRAND EST";"dont apprentis";;;;;;;
"0520795G";"Lycée professionnel Edmé Bouchardon";"GRAND EST";"ensemble";61;26;35;-9;39;44;49
"0520844K";"Lycée général et technologique Edmé Bouchardon";"GRAND EST";"ensemble";26;53;55;-2;56;55;58
"0520923W";"Lycée professionnel St Exupéry";"GRAND EST";"ensemble";43;31;32;0;40;39;44
"0521032P";"Lycée polyvalent Charles de Gaulle - Lycée des métiers du design graphique et de la transformation du bois";"GRAND EST";"ensemble";43;41;53;-12;54;51;58
"0521032P";"Lycée polyvalent Charles de Gaulle - Lycée des métiers du design graphique et de la transformation du bois";"GRAND EST";"dont élèves en voie pro sco";46;31;43;-12;49;45;56
"0521032P";"Lycée polyvalent Charles de Gaulle - Lycée des métiers du design graphique et de la transformation du bois";"GRAND EST";"dont apprentis";22;;;;;;
"0530004S";"Lycée général et technologique Victor Hugo";"PAYS DE LA LOIRE";"ensemble";26;70;65;5;70;75;80
"0530010Y";"Lycée général et technologique Ambroise Paré";"PAYS DE LA LOIRE";"ensemble";30;70;65;5;72;81;79
"0530011Z";"Lycée général et technologique Douanier Rousseau";"PAYS DE LA LOIRE";"ensemble";28;65;59;6;61;59;69
"0530012A";"Lycée général et technologique Réaumur - Lycée des métiers";"PAYS DE LA LOIRE";"ensemble";33;59;58;1;61;65;68
"0530013B";"Lycée professionnel Robert Buron - Lycée des Métiers";"PAYS DE LA LOIRE";"ensemble";47;51;48;3;56;60;60
"0530013B";"Lycée professionnel Robert Buron - Lycée des Métiers";"PAYS DE LA LOIRE";"dont élèves en voie pro sco";51;45;41;3;49;54;54
"0530013B";"Lycée professionnel Robert Buron - Lycée des Métiers";"PAYS DE LA LOIRE";"dont apprentis";34;65;63;2;71;72;71
"0530016E";"Lycée général et technologique Lavoisier";"PAYS DE LA LOIRE";"ensemble";35;72;64;8;69;69;72
"0530040F";"Lycée professionnel Pierre et Marie Curie";"PAYS DE LA LOIRE";"ensemble";47;56;51;6;55;58;57
"0530040F";"Lycée professionnel Pierre et Marie Curie";"PAYS DE LA LOIRE";"dont élèves en voie pro sco";48;56;47;9;49;57;56
"0530040F";"Lycée professionnel Pierre et Marie Curie";"PAYS DE LA LOIRE";"dont apprentis";44;59;61;-2;69;62;62
"0530048P";"Lycée général et technologique privé Immaculée-Conception";"PAYS DE LA LOIRE";"ensemble";;;;;;;
