n°UAI de l'établissement;Libellé de l'établissement;Région;Dont apprentis en EPLE;Taux de poursuite d'études;Taux;Taux attendu;Valeur ajoutée;Part en poursuite d'études;Part en emploi 6 mois après la sortie;Part des autres situations
0630078T;Lycée professionnel Germaine Tillion;AUVERGNE-RHONE-ALPES;dont apprentis;nd;nd;nd;nd;nd;nd;nd
0630078T;Lycée professionnel Germaine Tillion;AUVERGNE-RHONE-ALPES;ensemble;57;40;38;2;57;18;25
0630078T;Lycée professionnel Germaine Tillion;AUVERGNE-RHONE-ALPES;dont élèves en voie pro sco;58;34;34;0;58;14;28
0630665F;Etablissement régional d'enseignement adapté de Lattre de Tassigny;AUVERGNE-RHONE-ALPES;dont apprentis;nd;nd;nd;nd;nd;nd;nd
0630665F;Etablissement régional d'enseignement adapté de Lattre de Tassigny;AUVERGNE-RHONE-ALPES;ensemble;58;39;40;-1;58;16;26
0630665F;Etablissement régional d'enseignement adapté de Lattre de Tassigny;AUVERGNE-RHONE-ALPES;dont élèves en voie pro sco;59;34;32;3;59;14;27
0631033F;Lycée général et technologique privé Sévigné Saint Louis;AUVERGNE-RHONE-ALPES;ensemble;53;70;63;7;53;33;14
0631048X;Lycée professionnel privé René Rambaud - Coiffure;AUVERGNE-RHONE-ALPES;ensemble;50;72;60;12;50;36;14
0631050Z;Lycée professionnel privé Anna Rodier - Lycée des métiers de l'industrie et des services aux entreprises;AUVERGNE-RHONE-ALPES;ensemble;53;54;42;12;53;25;22
0631068U;Lycée général et technologique privé Godefroy de Bouillon;AUVERGNE-RHONE-ALPES;ensemble;61;62;62;-1;61;24;15
0631070W;Lycée général et technologique privé Sainte Thècle - Lycée des métiers de la santé et du social;AUVERGNE-RHONE-ALPES;ensemble;51;55;60;-5;51;27;22
0631075B;Lycée général et technologique privé Saint Alyre;AUVERGNE-RHONE-ALPES;ensemble;48;71;64;7;48;37;15
0631408N;Lycée professionnel privé Les Cordeliers - Lycée des métiers de la santé et du social;AUVERGNE-RHONE-ALPES;ensemble;57;48;48;0;57;20;23
0631409P;Lycée professionnel Camille Claudel - Lycée des métiers du génie électrique, de la prévention et de la sécurité;AUVERGNE-RHONE-ALPES;dont apprentis;nd;nd;nd;nd;nd;nd;nd
0631409P;Lycée professionnel Camille Claudel - Lycée des métiers du génie électrique, de la prévention et de la sécurité;AUVERGNE-RHONE-ALPES;ensemble;48;43;48;-5;48;22;30
0631409P;Lycée professionnel Camille Claudel - Lycée des métiers du génie électrique, de la prévention et de la sécurité;AUVERGNE-RHONE-ALPES;dont élèves en voie pro sco;49;41;46;-5;49;21;30
0631480S;Lycée professionnel Pierre Boulanger - Lycée des métiers des transports, de la logistique et de la maintenance automobile;AUVERGNE-RHONE-ALPES;dont apprentis;23;79;76;3;23;61;16
0631480S;Lycée professionnel Pierre Boulanger - Lycée des métiers des transports, de la logistique et de la maintenance automobile;AUVERGNE-RHONE-ALPES;ensemble;41;62;55;6;41;36;23
0631480S;Lycée professionnel Pierre Boulanger - Lycée des métiers des transports, de la logistique et de la maintenance automobile;AUVERGNE-RHONE-ALPES;dont élèves en voie pro sco;43;59;53;7;43;34;23
0631669X;Lycée polyvalent Valéry GISCARD d'ESTAING - Lycée des métiers de l'hôtellerie de la restauration;AUVERGNE-RHONE-ALPES;dont apprentis;21;70;75;-4;21;55;24
0631669X;Lycée polyvalent Valéry GISCARD d'ESTAING - Lycée des métiers de l'hôtellerie de la restauration;AUVERGNE-RHONE-ALPES;ensemble;40;65;62;3;40;39;21
0631669X;Lycée polyvalent Valéry GISCARD d'ESTAING - Lycée des métiers de l'hôtellerie de la restauration;AUVERGNE-RHONE-ALPES;dont élèves en voie pro sco;43;64;60;4;43;37;20
0631736V;Lycée professionnel privé Godefroy de Bouillon - Lycée des métiers de l'industrie et des services aux entreprises;AUVERGNE-RHONE-ALPES;ensemble;74;35;39;-4;74;9;17
0631737W;Lycée professionnel privé Saint Alyre;AUVERGNE-RHONE-ALPES;ensemble;92;nd;nd;nd;nd;nd;nd
0631985R;Lycée polyvalent Pierre Joël Bonté - Lycée des métiers des sciences et techniques de l'habitat et des travaux publics;AUVERGNE-RHONE-ALPES;dont apprentis;31;90;80;10;31;61;8
0631985R;Lycée polyvalent Pierre Joël Bonté - Lycée des métiers des sciences et techniques de l'habitat et des travaux publics;AUVERGNE-RHONE-ALPES;ensemble;55;67;58;9;55;30;15
0631985R;Lycée polyvalent Pierre Joël Bonté - Lycée des métiers des sciences et techniques de l'habitat et des travaux publics;AUVERGNE-RHONE-ALPES;dont élèves en voie pro sco;59;61;52;9;59;25;16
0640001D;Lycée polyvalent Cantau - Lycée des métiers du bâtiment;NOUVELLE-AQUITAINE;dont apprentis;41;72;73;-1;41;42;17
0640001D;Lycée polyvalent Cantau - Lycée des métiers du bâtiment;NOUVELLE-AQUITAINE;ensemble;55;62;57;5;55;28;17
0640001D;Lycée polyvalent Cantau - Lycée des métiers du bâtiment;NOUVELLE-AQUITAINE;dont élèves en voie pro sco;58;60;53;7;58;25;17
0640010N;Lycée général René Cassin;NOUVELLE-AQUITAINE;ensemble;49;58;50;8;49;29;22
0640011P;Lycée polyvalent Louis de Foix;NOUVELLE-AQUITAINE;dont apprentis;30;nd;nd;nd;30;59;11
0640011P;Lycée polyvalent Louis de Foix;NOUVELLE-AQUITAINE;ensemble;46;62;58;4;46;34;20
0640011P;Lycée polyvalent Louis de Foix;NOUVELLE-AQUITAINE;dont élèves en voie pro sco;47;60;57;3;47;32;21
0640012R;Section d'enseignement profesionnel du lycée polyvalent Louis de Foix;NOUVELLE-AQUITAINE;ensemble;58;43;41;1;58;18;24
0640013S;Lycée professionnel Paul Bert - Lycée des métiers du tertiaire et des services;NOUVELLE-AQUITAINE;dont apprentis;nd;nd;nd;nd;nd;nd;nd
0640013S;Lycée professionnel Paul Bert - Lycée des métiers du tertiaire et des services;NOUVELLE-AQUITAINE;ensemble;56;41;38;3;56;18;26
0640013S;Lycée professionnel Paul Bert - Lycée des métiers du tertiaire et des services;NOUVELLE-AQUITAINE;dont élèves en voie pro sco;56;40;38;3;56;18;26
0640017W;Lycée général expérimental André Malraux;NOUVELLE-AQUITAINE;ensemble;29;nd;nd;nd;29;33;38
0640026F;Lycée professionnel - Lycée des métiers de l'habitat et de l'industrie;NOUVELLE-AQUITAINE;dont apprentis;26;58;70;-12;26;43;31
0640026F;Lycée professionnel - Lycée des métiers de l'habitat et de l'industrie;NOUVELLE-AQUITAINE;ensemble;47;48;54;-6;47;25;28
0640026F;Lycée professionnel - Lycée des métiers de l'habitat et de l'industrie;NOUVELLE-AQUITAINE;dont élèves en voie pro sco;55;41;43;-2;55;18;27
0640028H;Lycée professionnel AIZPURDI;NOUVELLE-AQUITAINE;ensemble;57;37;46;-9;57;16;27
0640031L;Lycée professionnel expérimental André Campa;NOUVELLE-AQUITAINE;ensemble;44;52;45;8;44;29;27
0640040W;Lycée professionnel Jean-Pierre Champo - Lycée des métiers de la maintenance;NOUVELLE-AQUITAINE;dont apprentis;29;nd;nd;nd;29;52;19
0640040W;Lycée professionnel Jean-Pierre Champo - Lycée des métiers de la maintenance;NOUVELLE-AQUITAINE;ensemble;65;76;64;12;65;27;8
0640040W;Lycée professionnel Jean-Pierre Champo - Lycée des métiers de la maintenance;NOUVELLE-AQUITAINE;dont élèves en voie pro sco;70;78;66;12;70;23;7
0640042Y;Lycée professionnel Haute Vue - Lycée des métiers du goût et des soins et des services à la personne;NOUVELLE-AQUITAINE;dont apprentis;8;61;66;-5;8;56;36
0640042Y;Lycée professionnel Haute Vue - Lycée des métiers du goût et des soins et des services à la personne;NOUVELLE-AQUITAINE;ensemble;48;55;54;2;48;29;23
0640042Y;Lycée professionnel Haute Vue - Lycée des métiers du goût et des soins et des services à la personne;NOUVELLE-AQUITAINE;dont élèves en voie pro sco;56;53;48;5;56;23;21
0640044A;Lycée général Albert Camus - Lycée des métiers de la Chimie;NOUVELLE-AQUITAINE;dont apprentis;nd;nd;nd;nd;nd;nd;nd
0640044A;Lycée général Albert Camus - Lycée des métiers de la Chimie;NOUVELLE-AQUITAINE;ensemble;40;57;66;-9;40;34;26
0640044A;Lycée général Albert Camus - Lycée des métiers de la Chimie;NOUVELLE-AQUITAINE;dont élèves en voie pro sco;46;nd;nd;nd;46;33;21
0640049F;Lycée professionnel Guynemer - Lycée des métiers de l'industrie et du numérique;NOUVELLE-AQUITAINE;dont apprentis;nd;nd;nd;nd;nd;nd;nd
0640049F;Lycée professionnel Guynemer - Lycée des métiers de l'industrie et du numérique;NOUVELLE-AQUITAINE;ensemble;77;43;45;-2;77;10;13
0640049F;Lycée professionnel Guynemer - Lycée des métiers de l'industrie et du numérique;NOUVELLE-AQUITAINE;dont élèves en voie pro sco;76;39;43;-3;76;9;15
0640050G;Lycée professionnel du 4 septembre 1870 - Lycée des métiers du commerce et des services;NOUVELLE-AQUITAINE;ensemble;47;42;44;-2;47;22;31
0640052J;Lycée général et technologique Gaston Fébus;NOUVELLE-AQUITAINE;ensemble;31;70;63;7;31;48;21
0640053K;Lycée professionnel Francis Jammes - Lycée des métiers de l'industrie connectée, durable et des services;NOUVELLE-AQUITAINE;dont apprentis;nd;nd;nd;nd;nd;nd;nd
0640053K;Lycée professionnel Francis Jammes - Lycée des métiers de l'industrie connectée, durable et des services;NOUVELLE-AQUITAINE;ensemble;51;41;49;-8;51;20;29
0640053K;Lycée professionnel Francis Jammes - Lycée des métiers de l'industrie connectée, durable et des services;NOUVELLE-AQUITAINE;dont élèves en voie pro sco;53;39;45;-6;53;19;28
0640057P;Lycée polyvalent Saint Cricq;NOUVELLE-AQUITAINE;dont apprentis;28;72;65;7;28;52;20
0640057P;Lycée polyvalent Saint Cricq;NOUVELLE-AQUITAINE;ensemble;46;65;58;6;46;35;19
0640057P;Lycée polyvalent Saint Cricq;NOUVELLE-AQUITAINE;dont élèves en voie pro sco;56;58;53;5;56;26;18
0640058R;Lycée professionnel Honoré Baradat;NOUVELLE-AQUITAINE;ensemble;58;39;35;3;58;16;26
0640066Z;Lycée professionnel Ramiro Arrue - Lycée des métiers Côte Basque;NOUVELLE-AQUITAINE;ensemble;44;31;40;-9;44;17;39
0640079N;Lycée professionnel Pierre et Marie Curie;NOUVELLE-AQUITAINE;ensemble;43;52;48;4;43;30;27
0640080P;Lycée professionnel Molière - Lycée des métiers de l'industrie connectée, durable et des services;NOUVELLE-AQUITAINE;dont apprentis;nd;nd;nd;nd;nd;nd;nd
0640080P;Lycée professionnel Molière - Lycée des métiers de l'industrie connectée, durable et des services;NOUVELLE-AQUITAINE;ensemble;54;nd;nd;nd;nd;nd;nd
0640080P;Lycée professionnel Molière - Lycée des métiers de l'industrie connectée, durable et des services;NOUVELLE-AQUITAINE;dont élèves en voie pro sco;55;nd;nd;nd;nd;nd;nd
0640098J;Lycée professionnel Gabriel Haure-Place - Lycée des métiers d'art design, mobilier et décoration;NOUVELLE-AQUITAINE;ensemble;73;41;38;3;73;11;16
0640111Y;Lycée général et technologique privé Largenté;NOUVELLE-AQUITAINE;ensemble;72;50;59;-9;72;14;14
0640130U;Lycée général et technologique privé Immaculée-Conception Beau Frêne;NOUVELLE-AQUITAINE;ensemble;nd;nd;nd;nd;nd;nd;nd
0640131V;Lycée général et technologique privé Saint Dominique;NOUVELLE-AQUITAINE;ensemble;48;67;62;5;48;35;17
0640137B;Lycée général et technologique privé Saint Joseph;NOUVELLE-AQUITAINE;ensemble;44;58;60;-2;44;33;23
0640176U;Institut du travail social Pierre Bourdieu;NOUVELLE-AQUITAINE;ensemble;60;nd;nd;nd;60;23;17
0640179X;Lycée professionnel privé Le Guichot;NOUVELLE-AQUITAINE;ensemble;50;34;42;-8;50;17;33
0640181Z;Lycée polyvalent privé Saint Joseph - Lycée des métiers des sciences et techniques industrielles;NOUVELLE-AQUITAINE;ensemble;72;48;43;5;72;14;14
0640184C;Lycée professionnel privé Montpensier - Lycée des métiers de la santé, de l'animation, de l'organisation administrative, commerciale, du transport;NOUVELLE-AQUITAINE;ensemble;49;39;42;-3;49;20;31
0640189H;Lycée professionnel privé Saint Vincent de Paul - Lycées des métiers de la restauration;NOUVELLE-AQUITAINE;ensemble;59;46;44;2;59;19;22
0641441U;Lycée technologique privé Stella Maris;NOUVELLE-AQUITAINE;ensemble;46;39;51;-12;46;21;33
0641663K;Lycée professionnel privé stella maris - Lycée des métiers des sciences biotechnologiques, paramédicales et sociales;NOUVELLE-AQUITAINE;ensemble;46;39;39;-1;46;21;33
0641664L;Lycée professionnel privé Immaculée-Conception Beau Frêne - Lycée des métiers de l'industrie, du numérique et de la transition énergétique;NOUVELLE-AQUITAINE;ensemble;72;29;40;-11;72;8;20
0641665M;Lycée professionnel privé le beau rameau Igon;NOUVELLE-AQUITAINE;ensemble;60;57;51;6;60;23;17
0641705F;Lycée professionnel privé Saint Joseph;NOUVELLE-AQUITAINE;ensemble;52;39;44;-5;52;19;29
0641732K;Lycée général et technologique Saint John Perse;NOUVELLE-AQUITAINE;ensemble;59;60;59;2;59;25;16
0641779L;Lycée général et technologique du Pays de Soule;NOUVELLE-AQUITAINE;dont apprentis;nd;nd;nd;nd;nd;nd;nd
0641779L;Lycée général et technologique du Pays de Soule;NOUVELLE-AQUITAINE;ensemble;38;nd;nd;nd;38;25;37
0641779L;Lycée général et technologique du Pays de Soule;NOUVELLE-AQUITAINE;dont élèves en voie pro sco;39;nd;nd;nd;39;22;39
0641823J;Lycée polyvalent Biarritz Atlantique - Lycée des métiers de l'hôtellerie et du tourisme;NOUVELLE-AQUITAINE;dont apprentis;nd;nd;nd;nd;nd;nd;nd
0641823J;Lycée polyvalent Biarritz Atlantique - Lycée des métiers de l'hôtellerie et du tourisme;NOUVELLE-AQUITAINE;ensemble;48;57;59;-2;48;30;22
0641823J;Lycée polyvalent Biarritz Atlantique - Lycée des métiers de l'hôtellerie et du tourisme;NOUVELLE-AQUITAINE;dont élèves en voie pro sco;48;56;59;-3;48;29;23
0641839B;Lycée général et technologique Jacques Monod;NOUVELLE-AQUITAINE;ensemble;47;58;66;-8;47;31;22
0641844G;Lycée polyvalent de Navarre;NOUVELLE-AQUITAINE;dont apprentis;nd;nd;nd;nd;nd;nd;nd
